iata,airport,city,state,country,man_res,runways,gates
0J6,Headland Municipal,Headland,AL,USA,63,63,63
0K7,Humboldt Municipal,Humboldt,IA,USA,64,64,64
0L5,Goldfield,Goldfield,NV,USA,65,65,65
0L7,Jean,Jean,NV,USA,66,66,66
0L9,Echo Bay,Overton,NV,USA,67,67,67
0M0,Dumas Municipal,Dumas,AR,USA,68,68,68
0M1,Scott ,Parsons,TN,USA,69,69,69
0M4,Benton County,Camden,TN,USA,70,70,70
0M5,Humphreys County,Waverly,TN,USA,71,71,71
0M6,Panola County,Batesville,MS,USA,72,72,72
0M8,Byerley,Lake Providence,LA,USA,73,73,73
0O3,Calaveras Co-Maury Rasmussen ,San Andreas,CA,USA,74,74,74
0O4,Corning Municipal,Corning,CA,USA,75,75,75
0O5,University,Davis,CA,USA,76,76,76
0Q5,Shelter Cove,Shelter Cove,CA,USA,77,77,77
0Q6,Shingletown,Shingletown,CA,USA,78,78,78
0R0,Columbia-Marion County,Columbia,MS,USA,79,79,79
0R1,Atmore Municipal,Atmore,AL,USA,80,80,80
0R3,Abbeville Chris Crusta Memorial,Abbeville,LA,USA,81,81,81
0R4,Concordia Parish,Vidalia,LA,USA,82,82,82
0R5,David G Joyce,Winnfield,LA,USA,83,83,83
0R7,Red River,Coushatta,LA,USA,84,84,84
0S7,Dorothy Scott,Oroville,WA,USA,85,85,85
0S9,Jefferson County International,Port Townsend,WA,USA,86,86,86
0V2,Harriet Alexander ,Salida,CO,USA,87,87,87
0V3,Pioneer Village ,Minden,NE,USA,88,88,88
0V4,Brookneal/Campbell County,Brookneal,VA,USA,89,89,89
0V6,Mission Sioux,Mission,SD,USA,90,90,90
0V7,Kayenta,Kayenta,AZ,USA,91,91,91
10C,Galt,Chicago/Greenwood/Wonderlake,IL,USA,92,92,92
10D,Winsted Municipal,Winsted,MN,USA,93,93,93
10G,Holmes County,Millersburg,OH,USA,94,94,94
10N,Wallkill,Wallkill,NY,USA,95,95,95
10U,Owyhee,Owyhee,NV,USA,96,96,96
11A,Clayton Municipal,Clayton,AL,USA,97,97,97
11D,Clarion Cty,Clarion,PA,USA,98,98,98
11IS,Schaumburg Heliport,Chicago/Schaumburg,IL,USA,99,99,99
11J,Early County,Blakely,GA,USA,100,100,100
11R,Brenham Municipal,Brenham,TX,USA,101,101,101
12C,Rochelle Municipal,Rochelle,IL,USA,102,102,102
12D,Tower Municipal,Tower,MN,USA,103,103,103
12J,Brewton Municipal,Brewton,AL,USA,104,104,104
12K,Superior Municipal,Superior,NE,USA,105,105,105
12Y,Le Sueur Municipal,Le Sueur,MN,USA,106,106,106
13C,Lakeview,Lakeview,MI,USA,107,107,107
13K,Eureka Municipal,Eureka,KS,USA,108,108,108
13N,Trinca,Andover,NJ,USA,109,109,109
14J,Carl Folsom,Elba,AL,USA,110,110,110
14M,Hollandale Municipal,Hollandale,MS,USA,111,111,111
14Y,Todd Field ,Long Prairie,MN,USA,112,112,112
15F,Haskell Municipal,Haskell,TX,USA,113,113,113
15J,Cook County,Adel,GA,USA,114,114,114
15M,Luka ,Luka,MS,USA,115,115,115
15Z,McCarthy 2,McCarthy,AK,USA,116,116,116
16A,Nunapitchuk,Nunapitchuk,AK,USA,117,117,117
16G,Seneca County,Tiffin,OH,USA,118,118,118
16J,Dawson Municipal,Dawson,GA,USA,119,119,119
16S,Myrtle Creek Municipal,Myrtle Creek,OR,USA,120,120,120
17G,Port Bucyrus-Crawford County,Bucyrus,OH,USA,121,121,121
17J,Donalsonville Municipal,Donalsonville,GA,USA,122,122,122
17K,Boise City,Boise City,OK,USA,123,123,123
17M,Magee Municipal,Magee,MS,USA,124,124,124
17N,Cross Keys,Cross Keys,NJ,USA,125,125,125
17Z,Manokotak,Manokotak,AK,USA,126,126,126
18A,Franklin County,Canon,GA,USA,127,127,127
18I,McCreary County ,Pine Knot,KY,USA,128,128,128
19A,Jackson County,Jefferson,GA,USA,129,129,129
19M,C A Moore,Lexington,MS,USA,130,130,130
19N,Camden,Berlin,NJ,USA,131,131,131
19P,Port Protection SPB,Port Protection,AK,USA,132,132,132
1A3,Martin Campbell ,Copperhill,TN,USA,133,133,133
1A5,Macon County,Franklin,NC,USA,134,134,134
1A6,Middlesboro-Bell County,Middlesboro,KY,USA,135,135,135
1A7,Jackson County,Gainesboro,TN,USA,136,136,136
1A9,Autauga County,Prattville,AL,USA,137,137,137
1B0,Dexter Regional,Dexter,ME,USA,138,138,138
1B1,Columbia Cty,Hudson,NY,USA,139,139,139
1B3,Fair Haven,Fair Haven,VT,USA,140,140,140
1B9,Mansfield Municipal,Mansfield,MA,USA,141,141,141
1C5,Clow,Chicago/Plainfield,IL,USA,142,142,142
1D1,Milbank Municipal,Milbank,SD,USA,143,143,143
1D2,Canton -Plymouth -  Mettetal,Plymouth,MI,USA,144,144,144
1D3,Platte Municipal,Platte,SD,USA,145,145,145
1D6,Hector Municipal,Hector,MN,USA,146,146,146
1D7,Webster Municipal,Webster,SD,USA,147,147,147
1D8,Redfield Municipal,Redfield,SD,USA,148,148,148
1F0,Downtown Ardmore,Ardmore,OK,USA,149,149,149
1F1,Lake Murray State Park,Overbrook,OK,USA,150,150,150
1F4,Madill Municipal,Madill,OK,USA,151,151,151
1F9,Bridgeport Municipal,Bridgeport,TX,USA,152,152,152
1G0,Wood County,Bowling Green,OH,USA,153,153,153
1G3,Kent State University,Kent,OH,USA,154,154,154
1G4,Grand Canyon West,Peach Springs,AZ,USA,155,155,155
1G5,Freedom ,Medina,OH,USA,156,156,156
1G6,Michael ,Cicero,NY,USA,157,157,157
1H0,Creve Coeur,St Louis,MO,USA,158,158,158
1H2,Effingham County Memorial,Effingham,IL,USA,159,159,159
1H3,Linn State Tech. College,Linn,MO,USA,160,160,160
1H8,Casey Municipal,Casey,IL,USA,161,161,161
1I5,Freehold,Freehold,NY,USA,162,162,162
1I9,Delphi Municipal,Delphi,IN,USA,163,163,163
1J0,Tri-County,Bonifay,FL,USA,164,164,164
1K2,Lindsay Municipal,Lindsay,OK,USA,165,165,165
1K4,David J. Perry,Goldsby,OK,USA,166,166,166
1K5,Waynoka Municipal,Waynoka,OK,USA,167,167,167
1K9,Satanta Municipal,Satanta,KS,USA,168,168,168
1L0,St. John the Baptist Parish,Reserve,LA,USA,169,169,169
1L1,Lincoln Co,Panaca,NV,USA,170,170,170
1L7,Escalante Municipal,Escalante,UT,USA,171,171,171
1L9,Parowan,Parowan,UT,USA,172,172,172
1M1,North Little Rock Municipal,No Lit Rock,AR,USA,173,173,173
1M2,Belzoni Municipal,Belzoni,MS,USA,174,174,174
1M4,Posey ,Haleyville,AL,USA,175,175,175
1M5,Portland Municipal,Portland,TN,USA,176,176,176
1M7,Fulton,Fulton,KY,USA,177,177,177
1MO,Mountain Grove Memorial,Mountain Grove,MO,USA,178,178,178
1N2,Spadaro ,East Moriches,NY,USA,179,179,179
1N4,Woodbine Muni ,Woodbine,NJ,USA,180,180,180
1N7,Blairstown,Blairstown,NJ,USA,181,181,181
1N9,Allentown Queen City Muni,Allentown,PA,USA,182,182,182
1ND3,Hamry ,Kindred,ND,USA,183,183,183
1O1,Grandfield Municipal,Grandfield,OK,USA,184,184,184
1O2,Lampson ,Lakeport,CA,USA,185,185,185
1O3,Lodi,Lodi,CA,USA,186,186,186
1O4,Thomas Municipal,Thomas,OK,USA,187,187,187
1O6,Dunsmuir Municipal-Mott,Dunsmuir,CA,USA,188,188,188
1R1,Jena,Jena,LA,USA,189,189,189
1R7,Brookhaven-Lincoln County,Brookhaven,MS,USA,190,190,190
1R8,Bay Minette Municipal,Bay Minette,AL,USA,191,191,191
1S0,Pierce County ,Puyallup,WA,USA,192,192,192
1S3,Tillitt ,Forsyth,MT,USA,193,193,193
1S5,Sunnyside Municipal,Sunnyside,WA,USA,194,194,194
1S6,Priest River Muni,Priest River,ID,USA,195,195,195
1U7,Bear Lake County,Paris,ID,USA,196,196,196
1V0,Navajo State Park ,Navajo Dam,NM,USA,197,197,197
1V2,Grant County ,Hyannis,NE,USA,198,198,198
1V5,Boulder Muni,Boulder,CO,USA,199,199,199
1V6,Fremont County,Canon City,CO,USA,200,200,200
1V9,Blake ,Delta,CO,USA,201,201,201
20A,Robbins ,Oneonta,AL,USA,202,202,202
20M,Macon Municipal,Macon,MS,USA,203,203,203
20N,Kingston-Ulster,Kingston,NY,USA,204,204,204
20U,Beach,Beach,ND,USA,205,205,205
20V,McElroy Airfield,Kremmling,CO,USA,206,206,206
21D,Lake Elmo,St Paul,MN,USA,207,207,207
21F,Jacksboro Municipal,Jacksboro,TX,USA,208,208,208
22B,Mountain Meadow Airstrip,Burlington,CT,USA,209,209,209
22I,Vinton County,McArthur,OH,USA,210,210,210
22M,Pontotoc County,Pontotoc,MS,USA,211,211,211
22N,Carbon Cty-Jake Arner Memorial,Lehighton,PA,USA,212,212,212
23J,Herlong,Jacksonville,FL,USA,213,213,213
23M,Clarke County,Quitman,MS,USA,214,214,214
23N,Bayport Aerodrome,Bayport,NY,USA,215,215,215
23R,Devine Municipal,Devine,TX,USA,216,216,216
24A,Jackson County,Sylva,NC,USA,217,217,217
24J,Suwannee County,Live Oak,FL,USA,218,218,218
24N,Jicarilla Apache Nation,Dulce,NM,USA,219,219,219
25J,Cuthbert-Randolph,Cuthbert,GA,USA,220,220,220
25M,Ripley ,Ripley,MS,USA,221,221,221
25R,International,Edinburg,TX,USA,222,222,222
26A,Ashland/Lineville,Ashland/Lineville,AL,USA,223,223,223
26N,Ocean City Muni cipal,Ocean City,NJ,USA,224,224,224
26R,Jackson County,Edna/Ganado,TX,USA,225,225,225
26U,McDermitt State,McDermitt,OR,USA,226,226,226
27A,Elbert County-Patz ,Elberton,GA,USA,227,227,227
27D,Myers ,Canby,MN,USA,228,228,228
27J,Newberry Municipal,Newberry,SC,USA,229,229,229
27K,Georgetown-Scott County,Georgetown,KY,USA,230,230,230
28J,Kay Larkin,Palatka,FL,USA,231,231,231
29D,Grove City,Grove City,PA,USA,232,232,232
29G,Portage County,Ravenna,OH,USA,233,233,233
29S,Gardiner,Gardiner,MT,USA,234,234,234
2A0,Mark Anton,Dayton,TN,USA,235,235,235
2A1,Jamestown Municipal,Jamestown,TN,USA,236,236,236
2A3,Larsen Bay,Larsen Bay,AK,USA,237,237,237
2A9,Kotlik,Kotlik,AK,USA,238,238,238
2AK,Lime Village,Lime Village,AK,USA,239,239,239
2B3,Parlin ,Newport,NH,USA,240,240,240
2B7,Pittsfield Municipal,Pittsfield,ME,USA,241,241,241
2B9,Post Mills,Post Mills,VT,USA,242,242,242
2D1,Barber,Alliance,OH,USA,243,243,243
2D5,Oakes Municipal,Oakes,ND,USA,244,244,244
2F5,Lamesa Municipal,Lamesa,TX,USA,245,245,245
2F6,Skiatook Municipal,Skiatook,OK,USA,246,246,246
2F7,Commerce Municipal,Commerce,TX,USA,247,247,247
2F8,Morehouse Memorial,Bastrop,LA,USA,248,248,248
2G2,Jefferson County Airpark,Steubenville,OH,USA,249,249,249
2G3,Connellsville,Connellsville,PA,USA,250,250,250
2G4,Garrett County,Oakland,MD,USA,251,251,251
2G9,Somerset County,Somerset,PA,USA,252,252,252
2H0,Shelby County,Shelbyville,IL,USA,253,253,253
2H2,Aurora Memorial Municipal,Aurora,MO,USA,254,254,254
2I0,Madisonville Municipal,Madisonville,KY,USA,255,255,255
2I5,Chanute,Rantoul,IL,USA,256,256,256
2IS,Airglades,Clewiston,FL,USA,257,257,257
2J2,Liberty County,Hinesville,GA,USA,258,258,258
2J3,Louisville Municipal,Louisville,GA,USA,259,259,259
2J5,Millen,Millen,GA,USA,260,260,260
2J9,Quincy Municipal,Quincy,FL,USA,261,261,261
2K3,Stanton County Municipal,Johnson,KS,USA,262,262,262
2K4,Scott ,Mangum,OK,USA,263,263,263
2K5,Telida,Telida,AK,USA,264,264,264
2M0,Princeton-Caldwell County,Princeton,KY,USA,265,265,265
2M2,Lawrenceburg Municipal,Lawrenceburg,TN,USA,266,266,266
2M3,Sallisaw Municipal,Sallisaw,OK,USA,267,267,267
2M4,G. V. Montgomery,Forest,MS,USA,268,268,268
2M8,Charles W. Baker,Millington,TN,USA,269,269,269
2O1,Gansner ,Quincy,CA,USA,270,270,270
2O3,Angwin-Parrett ,Angwin,CA,USA,271,271,271
2O6,Chowchilla,Chowchilla,CA,USA,272,272,272
2O7,Independence,Independence,CA,USA,273,273,273
2O8,Hinton Municipal,Hinton,OK,USA,274,274,274
2P2,Washington Island,Washington Island,WI,USA,275,275,275
2Q3,Yolo Co-Davis/Woodland/Winters,Davis/Woodland/Winters,CA,USA,276,276,276
2R0,Waynesboro Municipal,Waynesboro,MS,USA,277,277,277
2R4,Peter Prince ,Milton,FL,USA,278,278,278
2R5,St Elmo,St Elmo,AL,USA,279,279,279
2R9,Karnes County,Kenedy,TX,USA,280,280,280
2S1,Vashon Municipal,Vashon,WA,USA,281,281,281
2S6,Sportsman Airpark,Newberg,OR,USA,282,282,282
2S7,Chiloquin State,Chiloquin,OR,USA,283,283,283
2S8,Wilbur,Wilbur,WA,USA,284,284,284
2T1,Muleshoe Municipal,Muleshoe,TX,USA,285,285,285
2V1,Stevens ,Pagosa Springs,CO,USA,286,286,286
2V2,Vance Brand,Longmont,CO,USA,287,287,287
2V5,Wray Municipal,Wray,CO,USA,288,288,288
2V6,Yuma Municipal,Yuma,CO,USA,289,289,289
2W5,Maryland,Indian Head,MD,USA,290,290,290
2W6,Captain Walter Francis Duke Regional ,Leonardtown,MD,USA,291,291,291
2Y3,Yakutat SPB,Yakutat,AK,USA,292,292,292
2Y4,Rockwell City Municipal,Rockwell City,IA,USA,293,293,293
31F,Gaines County,Seminole,TX,USA,294,294,294
32M,Norfolk,Norfolk,MA,USA,295,295,295
32S,Stevensville,Stevensville,MT,USA,296,296,296
33J,Geneva Municipal,Geneva,AL,USA,297,297,297
33M,Water Valley ,Water Valley,MS,USA,298,298,298
33N,Delaware Airpark,Dover,DE,USA,299,299,299
33S,Pru ,Ritzville,WA,USA,300,300,300
34A,Laurens County,Laurens,SC,USA,301,301,301
35A,"Union County, Troy Shelton ",Union,SC,USA,302,302,302
35D,Padgham ,Allegan,MI,USA,303,303,303
35S,Wasco State,Wasco,OR,USA,304,304,304
36K,Lakin,Lakin,KS,USA,305,305,305
36S,Happy Camp,Happy Camp,CA,USA,306,306,306
36U,Heber City Municipal/Russ McDonald ,Heber,UT,USA,307,307,307
37T,Calico Rock-Izard County,Calico Rock,AR,USA,308,308,308
37W,Harnett County,Erwin,NC,USA,309,309,309
38A,Shaktoolik,Shaktoolik,AK,USA,310,310,310
38S,Deer Lodge-City-County,Deer Lodge,MT,USA,311,311,311
38U,Wayne Wonderland,Loa,UT,USA,312,312,312
39N,Princeton,Princeton,NJ,USA,313,313,313
3A0,Grove Hill Municipal,Grove Hill,AL,USA,314,314,314
3A1,Folsom ,Cullman,AL,USA,315,315,315
3A2,New Tazewell Municipal,Tazewell,TN,USA,316,316,316
3A3,Anson County,Wadesboro,NC,USA,317,317,317
3AU,Augusta Municipal,Augusta,KS,USA,318,318,318
3B0,Southbridge Municipal,Southbridge,MA,USA,319,319,319
3B1,Greenville Municipal,Greenville,ME,USA,320,320,320
3B2,Marshfield,Marshfield,MA,USA,321,321,321
3B9,Chester,Chester,CT,USA,322,322,322
3BS,Jack Barstow,Midland,MI,USA,323,323,323
3CK,Lake In The Hills,Lake In The Hills,IL,USA,324,324,324
3CM,James Clements Municipal,Bay City,MI,USA,325,325,325
3CU,Cable Union,Cable,WI,USA,326,326,326
3D2,Ephraim/Gibraltar,Ephraim,WI,USA,327,327,327
3D4,Frankfort Dow Memorial,Frankfort,MI,USA,328,328,328
3F3,De Soto Parish,Mansfield,LA,USA,329,329,329
3F4,Vivian,Vivian,LA,USA,330,330,330
3F7,Jones Memorial,Bristow,OK,USA,331,331,331
3FM,Fremont Municipal,Fremont,MI,USA,332,332,332
3FU,Faulkton Municipal,Faulkton,SD,USA,333,333,333
3G3,Wadsworth Municipal,Wadsworth,OH,USA,334,334,334
3G4,Ashland County,Ashland,OH,USA,335,335,335
3G7,Williamson/Sodus,Williamson,NY,USA,336,336,336
3GM,Grand Haven Memorial Airpark,Grand Haven,MI,USA,337,337,337
3I2,Mason County,Point Pleasant,WV,USA,338,338,338
3I7,Phillipsburg,Phillipsburg,OH,USA,339,339,339
3J1,Ridgeland,Ridgeland,SC,USA,340,340,340
3J7,Greene County Airpark,Greensboro,GA,USA,341,341,341
3JC,Freeman ,Junction City,KS,USA,342,342,342
3K3,Syracuse-Hamilton County Municipal,Syracuse,KS,USA,343,343,343
3K6,St Louis-Metro East,Troy/Marine/St. Louis,IL,USA,344,344,344
3K7,Mark Hoard Memorial,Leoti,KS,USA,345,345,345
3LC,Logan County,Lincoln,IL,USA,346,346,346
3LF,Litchfield Municipal,Litchfield,IL,USA,347,347,347
3M7,Lafayette Municipal,Lafayette,TN,USA,348,348,348
3M8,North Pickens ,Reform,AL,USA,349,349,349
3M9,Warren Municipal,Warren,AR,USA,350,350,350
3MY,Mt. Hawley Auxiliary,Peoria,IL,USA,351,351,351
3N6,Old Bridge,Old Bridge,NJ,USA,352,352,352
3N8,Mahnomen County ,Mahnomen,MN,USA,353,353,353
3ND0,Northwood Municipal,Northwood,ND,USA,354,354,354
3O1,Gustine,Gustine,CA,USA,355,355,355
3O3,Municipal,Purcell,OK,USA,356,356,356
3O4,Sayre Municipal,Sayre,OK,USA,357,357,357
3O5,Walters Municipal,Walters,OK,USA,358,358,358
3O7,Hollister Municipal,Hollister,CA,USA,359,359,359
3O9,Grand Lake Regional,Afton,OK,USA,360,360,360
3R0,Beeville Municipal,Beeville,TX,USA,361,361,361
3R1,Bay City Municipal,Bay City,TX,USA,362,362,362
3R2,Le Gros Memorial,Crowley,LA,USA,363,363,363
3R4,Hart,Many,LA,USA,364,364,364
3R7,Jennings,Jennings,LA,USA,365,365,365
3S4,Illinois Valley,Illinois Valley (Cave Junction),OR,USA,366,366,366
3S8,Grants Pass,Grants Pass,OR,USA,367,367,367
3S9,Condon State-Pauling ,Condon,OR,USA,368,368,368
3SG,Harry W Browne,Saginaw - H.Browne,MI,USA,369,369,369
3SQ,St Charles,St Charles,MO,USA,370,370,370
3T3,Boyceville Municipal ,Boyceville,WI,USA,371,371,371
3T5,Fayette Regional Air Center,La Grange,TX,USA,372,372,372
3TR,Jerry Tyler Memorial,Niles,MI,USA,373,373,373
3U3,Bowman ,Anaconda,MT,USA,374,374,374
3U7,Benchmark,Benchmark,MT,USA,375,375,375
3U8,Big Sandy,Big Sandy,MT,USA,376,376,376
3V4,Fort Morgan Municipal,Fort Morgan,CO,USA,377,377,377
3WO,Shawano Municipal,Shawano,WI,USA,378,378,378
3Y2,George L Scott Municipal,West Union,IA,USA,379,379,379
3Y3,Winterset Madison County,Winterset,IA,USA,380,380,380
3Z9,Haines SPB,Haines,AK,USA,381,381,381
40J,Perry-Foley,Perry,FL,USA,382,382,382
40N,Chester Cty-G O Carlson,Coatesville,PA,USA,383,383,383
40U,Manila,Manila,UT,USA,384,384,384
41U,Manti-Ephraim,Manti,UT,USA,385,385,385
42A,Melbourne Municipal,Melbourne,AR,USA,386,386,386
42C,White Cloud,White Cloud,MI,USA,387,387,387
42J,Keystone Airpark,Keystone Heights,FL,USA,388,388,388
42S,Poplar,Poplar,MT,USA,389,389,389
43A,Montgomery County,Star,NC,USA,390,390,390
44B,Dover/Foxcroft,Dover-Foxcroft,ME,USA,391,391,391
44N,Sky Acres,Millbrook,NY,USA,392,392,392
45J,Rockingham-Hamlet,Rockingham,NC,USA,393,393,393
45OH,North Bass Island,North Bass Island,OH,USA,394,394,394
45R,Kountz - Hawthorne ,Kountze/Silsbee,TX,USA,395,395,395
46A,Blairsville,Blairsville,GA,USA,396,396,396
46D,Carrington Municipal,Carrington,ND,USA,397,397,397
46N,Sky Park,Red Hook,NY,USA,398,398,398
47A,Cherokee County,Canton,GA,USA,399,399,399
47J,Cheraw Municipal,Cheraw,SC,USA,400,400,400
47N,Central Jersey Regional,Manville,NJ,USA,401,401,401
47V,Curtis Municipal,Curtis,NE,USA,402,402,402
48A,Cochran,Cochran,GA,USA,403,403,403
48D,Clare Municipal,Clare,MI,USA,404,404,404
48I,Braxton County,Sutton,WV,USA,405,405,405
48K,Ness City Municipal,Ness City,KS,USA,406,406,406
48S,Harlem,Harlem,MT,USA,407,407,407
48V,Tri-County,Erie,CO,USA,408,408,408
49A,Gilmer County,Ellijay,GA,USA,409,409,409
49T,Downtown Heliport,Dallas,TX,USA,410,410,410
49X,Chemehuevi Valley,Chemehuevi Valley,CA,USA,411,411,411
49Y,Fillmore County,Preston,MN,USA,412,412,412
4A2,Atmautluak,Atmautluak,AK,USA,413,413,413
4A4,Cornelius-Moore ,Cedartown,GA,USA,414,414,414
4A5,Marshall-Searcy County,Marshall,AR,USA,415,415,415
4A6,Scottsboro Municipal,Scottsboro,AL,USA,416,416,416
4A7,Clayton County,Hampton,GA,USA,417,417,417
4A9,Isbell ,Fort Payne,AL,USA,418,418,418
4B0,South Albany,South Bethlehem,NY,USA,419,419,419
4B1,Duanesburg,Duanesburg,NY,USA,420,420,420
4B6,Ticonderoga Muni,Ticonderoga,NY,USA,421,421,421
4B7,Schroon Lake,Schroon Lake,NY,USA,422,422,422
4B8,Robertson ,Plainville,CT,USA,423,423,423
4B9,Simsbury Tri-Town,Simsbury,CT,USA,424,424,424
4C8,Albia Municipal,Albia,IA,USA,425,425,425
4D0,Abrams Municipal,Grandledge,MI,USA,426,426,426
4D9,Alma Municipal,Alma,NE,USA,427,427,427
4F2,Panola County-Sharpe ,Carthage,TX,USA,428,428,428
4F4,Gilmer-Upshur County,Gilmer,TX,USA,429,429,429
4G1,Greenville Muni,Greenville,PA,USA,430,430,430
4G2,Hamburg Inc.,Hamburg,NY,USA,431,431,431
4G5,Monroe County,Woodsfield,OH,USA,432,432,432
4G6,Hornell Muni,Hornell,NY,USA,433,433,433
4G7,Fairmont Muni,Fairmont,WV,USA,434,434,434
4I0,Mingo County,Williamson,WV,USA,435,435,435
4I3,Knox County,Mount Vernon,OH,USA,436,436,436
4I7,Putnam County,Greencastle,IN,USA,437,437,437
4I9,Morrow County,Mt. Gilead,OH,USA,438,438,438
4J1,Brantley County,Nahunta,GA,USA,439,439,439
4J2,Berrien County,Nashville,GA,USA,440,440,440
4J5,Quitman-Brooks County,Quitman,GA,USA,441,441,441
4J6,St Marys,St Marys,GA,USA,442,442,442
4K0,Pedro Bay,Pedro Bay,AK,USA,443,443,443
4K5,Ouzinkie,Ouzinkie,AK,USA,444,444,444
4K6,Bloomfield Municipal,Bloomfield,IA,USA,445,445,445
4KA,Tununak,Tununak,AK,USA,446,446,446
4M1,Carroll County,Berryville,AR,USA,447,447,447
4M3,Carlisle Municipal,Carlisle,AR,USA,448,448,448
4M4,Clinton Municipal,Clinton,AR,USA,449,449,449
4M7,Russellville-Logan County,Russellville,KY,USA,450,450,450
4M8,Clarendon Municipal,Clarendon,AR,USA,451,451,451
4M9,Corning Municipal,Corning,AR,USA,452,452,452
4N1,Greenwood Lake,West Milford,NJ,USA,453,453,453
4O3,Blackwell-Tonkawa Municipal,Blackwell-Tonkawa,OK,USA,454,454,454
4O4,McCurtain County Regional,Idabel,OK,USA,455,455,455
4O5,Cherokee Municipal,Cherokee,OK,USA,456,456,456
4PH,Polacca,Polacca,AZ,USA,457,457,457
4R1,I H Bass Jr Memorial,Lumberton,MS,USA,458,458,458
4R3,Jackson Municipal,Jackson,AL,USA,459,459,459
4R4,Fairhope Municipal,Fairhope,AL,USA,460,460,460
4R5,Madeline Island,La Pointe,WI,USA,461,461,461
4R7,Eunice,Eunice,LA,USA,462,462,462
4R9,Dauphin Island,Dauphin Island,AL,USA,463,463,463
4S1,Gold Beach Muni,Gold Beach,OR,USA,464,464,464
4S2,Hood River,Hood River,OR,USA,465,465,465
4S3,Joseph State,Joseph,OR,USA,466,466,466
4S9,Portland-Mulino,Mulino (Portland),OR,USA,467,467,467
